,crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
29,2017-05-02,7:36,BRONX,10467,40.86507,-73.87185,"40.86507, -73.87185",BRONX RIVER PARKWAY             ,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3663264,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
30,2017-05-01,11:00,STATEN ISLAND,10312.0,40.558887,-74.1977,"40.558887, -74.1977",ARDEN AVENUE                    ,ARTHUR KILL ROAD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3661629,Sedan,,,,
31,2017-05-08,14:03,BROOKLYN,11233.0,40.678894,-73.90347,"40.678894, -73.90347",TRUXTON STREET                  ,VAN SIDERIN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3666151,Bus,Sedan,,,
32,2017-04-25,19:00,QUEENS,11417.0,40.676373,-73.84701,"40.676373, -73.84701",90 STREET                       ,SUTTER AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3657462,Sedan,,,,
33,2017-05-05,12:30,BRONX,10452,40.84487,-73.92068,"40.84487, -73.92068",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3664073,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
34,2017-04-29,3:30,QUEENS,11691.0,40.599243,-73.752495,"40.599243, -73.752495",BEACH 19 STREET                 ,BROOKHAVEN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3659410,Sedan,Sedan,Sedan,,
35,2017-04-16,11:25,BRONX,10465,40.8047,-73.83140999999999,"40.8047, -73.83141",BRONX WHITESTONE BRIDGE         ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3651871,Station Wagon/Sport Utility Vehicle,Sedan,,,
36,2017-04-25,19:30,,,,,"0,0",THROGS NECK EXPRESSWAY          ,HARDING AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3658008,Sedan,Sedan,,,
37,2017-04-26,15:00,QUEENS,11358.0,40.763287,-73.80358000000001,"40.763287, -73.80358",,,35-75     162 STREET                    ,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Backing Unsafely,,,,3658139,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
38,2017-05-06,6:20,BROOKLYN,11203.0,40.651733,-73.93039,"40.651733, -73.93039",UTICA AVENUE                    ,CHURCH AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3667096,,,,,
